LATITUDE,LONGITUDE,ID
53.3488,-6.24874,567mb
53.3448,-6.23321,568mb
53.3413,-6.28356,569mb
53.3079,-6.22885,570mb
53.3451,-6.23823,571mb
53.3429,-6.23865,572mb
53.3757,-6.24031,573mb
53.3414,-6.26467,574mb
53.356,-6.25712,575mb
53.3453,-6.27051,576mb
53.3384,-6.24283,577mb
53.3521,-6.26117,578mb
53.317,-6.21458,579mb
53.345,-6.27004,580mb
53.3438,-6.26204,581mb
53.3464,-6.29217,582mb
53.3774,-6.27047,583mb
53.3488,-6.24864,584mb
53.3666,-6.31907,585mb
53.3444,-6.23289,586mb
53.3557,-6.25761,587mb
53.3451,-6.2382,588mb
53.3757,-6.24032,589mb
53.3414,-6.26466,590mb
53.3559,-6.25717,591mb
53.3451,-6.2703,592mb
53.3171,-6.21502,593mb
53.2964,-6.18433,594mb
53.2964,-6.18431,595mb
53.3558,-6.25756,596mb
53.3452,-6.23815,597mb
53.3775,-6.27049,598mb
53.3444,-6.23294,599mb
53.333,-6.27461,600mb
53.3451,-6.23818,601mb
53.3433,-6.2758,602mb
53.345,-6.27014,603mb
53.3383,-6.24296,604mb
53.317,-6.21496,605mb
53.2946,-6.1345,606mb
53.3452,-6.23803,607mb
53.3775,-6.27037,608mb
53.3254,-6.25506,609mb
53.3376,-6.26635,610mb
53.3513,-6.25104,611mb
53.3446,-6.23313,612mb
53.2884,-6.11427,613mb
53.295,-6.20299,614mb
53.3434,-6.27583,615mb
53.3413,-6.2647,616mb
53.3347,-6.27431,617mb
53.3345,-6.27453,618mb
53.3384,-6.24294,619mb
53.3524,-6.25997,620mb
53.3168,-6.21521,621mb
53.3451,-6.27004,622mb
53.3657,-6.3225,623mb
53.3774,-6.27042,624mb
53.3816,-6.2416,625mb
53.3445,-6.23326,626mb
53.2885,-6.11424,627mb
53.3557,-6.25757,628mb
53.3252,-6.2553,629mb
53.345,-6.23805,630mb
53.3757,-6.24035,631mb
53.3413,-6.26472,632mb
53.3347,-6.27418,633mb
53.3384,-6.24303,634mb
53.3523,-6.2601,635mb
53.317,-6.21495,636mb
53.2962,-6.18434,637mb
53.2947,-6.1345,638mb
53.3657,-6.32252,639mb
53.3451,-6.23816,640mb
53.3774,-6.27049,641mb
53.3254,-6.25501,642mb
53.3556,-6.25746,643mb
53.3447,-6.23338,644mb
53.333,-6.27476,645mb
53.3252,-6.2552,646mb
53.3432,-6.27588,647mb
53.3758,-6.24031,648mb
53.3414,-6.26465,649mb
53.3523,-6.26016,650mb
53.2943,-6.13381,651mb
53.2947,-6.13451,652mb
53.2891,-6.1138,653mb
53.3557,-6.25758,654mb
53.3773,-6.27051,655mb
53.3254,-6.25513,656mb
53.3816,-6.24172,657mb
